"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","QGDP","TOT","PC_CHGPP","Q","2010-Q1",1.959077,
"KOR","QGDP","TOT","PC_CHGPP","Q","2010-Q2",1.899801,
"KOR","QGDP","TOT","PC_CHGPP","Q","2010-Q3",1.155215,
"KOR","QGDP","TOT","PC_CHGPP","Q","2010-Q4",1.219319,
"KOR","QGDP","TOT","PC_CHGPP","Q","2011-Q1",0.933131,
"KOR","QGDP","TOT","PC_CHGPP","Q","2011-Q2",0.490791,
"KOR","QGDP","TOT","PC_CHGPP","Q","2011-Q3",0.526324,
"KOR","QGDP","TOT","PC_CHGPP","Q","2011-Q4",0.472298,
"KOR","QGDP","TOT","PC_CHGPP","Q","2012-Q1",0.876511,
"KOR","QGDP","TOT","PC_CHGPP","Q","2012-Q2",0.563545,
"KOR","QGDP","TOT","PC_CHGPP","Q","2012-Q3",0.432793,
"KOR","QGDP","TOT","PC_CHGPP","Q","2012-Q4",0.504489,
"KOR","QGDP","TOT","PC_CHGPP","Q","2013-Q1",0.881726,
"KOR","QGDP","TOT","PC_CHGPP","Q","2013-Q2",1.176438,
"KOR","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.857539,
"KOR","QGDP","TOT","PC_CHGPP","Q","2013-Q4",0.786866,
"KOR","QGDP","TOT","PC_CHGPP","Q","2014-Q1",0.953416,
"KOR","QGDP","TOT","PC_CHGPP","Q","2014-Q2",0.850184,
"KOR","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.307228,
"KOR","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.447209,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q1",0.857087,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.407245,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q3",1.468999,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.720414,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.285962,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q2",1.126822,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.44351,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.762716,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.816716,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.691752,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q3",1.464971,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q4",-0.074981,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q1",1.06627,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.61552,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.577085,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.86544,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.339694341,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.014142649,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.375455057,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.311630082,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.281701518,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-3.153851888,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",2.136144877,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.22575356,"P"
"AUS","QGDP","TOT","PC_CHGPP","Q","2010-Q1",0.501855984,
"AUS","QGDP","TOT","PC_CHGPP","Q","2010-Q2",0.526230089,
"AUS","QGDP","TOT","PC_CHGPP","Q","2010-Q3",0.680055227,
"AUS","QGDP","TOT","PC_CHGPP","Q","2010-Q4",1.025833538,
"AUS","QGDP","TOT","PC_CHGPP","Q","2011-Q1",-0.265671725,
"AUS","QGDP","TOT","PC_CHGPP","Q","2011-Q2",1.181092384,
"AUS","QGDP","TOT","PC_CHGPP","Q","2011-Q3",1.338142832,
"AUS","QGDP","TOT","PC_CHGPP","Q","2011-Q4",1.151149914,
"AUS","QGDP","TOT","PC_CHGPP","Q","2012-Q1",0.925443966,
"AUS","QGDP","TOT","PC_CHGPP","Q","2012-Q2",0.759329388,
"AUS","QGDP","TOT","PC_CHGPP","Q","2012-Q3",0.591398883,
"AUS","QGDP","TOT","PC_CHGPP","Q","2012-Q4",0.529631408,
"AUS","QGDP","TOT","PC_CHGPP","Q","2013-Q1",0.295382714,
"AUS","QGDP","TOT","PC_CHGPP","Q","2013-Q2",0.437385826,
"AUS","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.807975485,
"AUS","QGDP","TOT","PC_CHGPP","Q","2013-Q4",0.823496925,
"AUS","QGDP","TOT","PC_CHGPP","Q","2014-Q1",0.678669492,
"AUS","QGDP","TOT","PC_CHGPP","Q","2014-Q2",0.541304433,
"AUS","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.485881018,
"AUS","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.365101749,
"AUS","QGDP","TOT","PC_CHGPP","Q","2015-Q1",0.840544387,
"AUS","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.182174414,
"AUS","QGDP","TOT","PC_CHGPP","Q","2015-Q3",1.055950524,
"AUS","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.577242997,
"AUS","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.850488128,
"AUS","QGDP","TOT","PC_CHGPP","Q","2016-Q2",0.721242513,
"AUS","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.106812222,
"AUS","QGDP","TOT","PC_CHGPP","Q","2016-Q4",1.008189635,
"AUS","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.275508818,
"AUS","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.691394333,
"AUS","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.967198519,
"AUS","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.497152633,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.897433739,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.880483995,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.361357862,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.196712937,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.485163455,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.650171647,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.601863521,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.439655469,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.295307468,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.003254372,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q3",3.403553685,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q4",3.127661985,
"ISL","QGDP","TOT","PC_CHGPP","Q","2010-Q1",-6.606631293,
"ISL","QGDP","TOT","PC_CHGPP","Q","2010-Q2",4.916091681,
"ISL","QGDP","TOT","PC_CHGPP","Q","2010-Q3",-2.05490198,
"ISL","QGDP","TOT","PC_CHGPP","Q","2010-Q4",3.538927152,
"ISL","QGDP","TOT","PC_CHGPP","Q","2011-Q1",-4.361139226,
"ISL","QGDP","TOT","PC_CHGPP","Q","2011-Q2",3.193613379,
"ISL","QGDP","TOT","PC_CHGPP","Q","2011-Q3",1.931058051,
"ISL","QGDP","TOT","PC_CHGPP","Q","2011-Q4",0.826502745,
"ISL","QGDP","TOT","PC_CHGPP","Q","2012-Q1",-3.834744164,
"ISL","QGDP","TOT","PC_CHGPP","Q","2012-Q2",1.90723131,
"ISL","QGDP","TOT","PC_CHGPP","Q","2012-Q3",1.612950809,
"ISL","QGDP","TOT","PC_CHGPP","Q","2012-Q4",1.610151482,
"ISL","QGDP","TOT","PC_CHGPP","Q","2013-Q1",-0.33272241,
"ISL","QGDP","TOT","PC_CHGPP","Q","2013-Q2",1.199627187,
"ISL","QGDP","TOT","PC_CHGPP","Q","2013-Q3",1.312334848,
"ISL","QGDP","TOT","PC_CHGPP","Q","2013-Q4",3.106464065,
"ISL","QGDP","TOT","PC_CHGPP","Q","2014-Q1",-3.316777698,
