,Dis No,Country,Year,Month,Rel_Hum
0,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2020,1,70.0
1,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2020,2,78.0
2,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2020,3,82.0
3,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2020,4,83.0
4,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2020,5,88.0
5,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2020,6,92.0
6,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2020,7,94.0
7,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2020,8,92.0
8,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2020,9,82.0
9,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2020,10,78.0
10,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2020,11,74.0
11,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2020,12,74.0
144,2019-0366-FRA,France,2020,1,73.0
145,2019-0366-FRA,France,2020,2,73.0
146,2019-0366-FRA,France,2020,3,78.0
147,2019-0366-FRA,France,2020,4,71.0
148,2019-0366-FRA,France,2020,5,77.0
149,2019-0366-FRA,France,2020,6,82.0
150,2019-0366-FRA,France,2020,7,72.0
151,2019-0366-FRA,France,2020,8,69.0
152,2019-0366-FRA,France,2020,9,82.0
153,2019-0366-FRA,France,2020,10,82.0
154,2019-0366-FRA,France,2020,11,76.0
155,2019-0366-FRA,France,2020,12,83.0
288,2019-0467-JPN,Japan,2020,1,69.0
289,2019-0467-JPN,Japan,2020,2,60.0
290,2019-0467-JPN,Japan,2020,3,65.0
291,2019-0467-JPN,Japan,2020,4,68.0
292,2019-0467-JPN,Japan,2020,5,77.0
293,2019-0467-JPN,Japan,2020,6,84.0
294,2019-0467-JPN,Japan,2020,7,91.0
295,2019-0467-JPN,Japan,2020,8,80.0
296,2019-0467-JPN,Japan,2020,9,87.0
297,2019-0467-JPN,Japan,2020,10,82.0
298,2019-0467-JPN,Japan,2020,11,72.0
299,2019-0467-JPN,Japan,2020,12,61.0
432,2019-0366-AUT,Austria,2020,1,69.0
433,2019-0366-AUT,Austria,2020,2,75.0
434,2019-0366-AUT,Austria,2020,3,79.0
435,2019-0366-AUT,Austria,2020,4,68.0
436,2019-0366-AUT,Austria,2020,5,80.0
437,2019-0366-AUT,Austria,2020,6,81.0
438,2019-0366-AUT,Austria,2020,7,79.0
439,2019-0366-AUT,Austria,2020,8,81.0
440,2019-0366-AUT,Austria,2020,9,84.0
441,2019-0366-AUT,Austria,2020,10,88.0
442,2019-0366-AUT,Austria,2020,11,77.0
443,2019-0366-AUT,Austria,2020,12,85.0
576,2000-0379-GRC,Greece,2020,1,68.53846153846153
577,2000-0379-GRC,Greece,2020,2,70.76923076923077
578,2000-0379-GRC,Greece,2020,3,72.38461538461539
579,2000-0379-GRC,Greece,2020,4,71.46153846153847
580,2000-0379-GRC,Greece,2020,5,69.92307692307692
581,2000-0379-GRC,Greece,2020,6,72.92307692307692
582,2000-0379-GRC,Greece,2020,7,69.23076923076923
583,2000-0379-GRC,Greece,2020,8,69.53846153846153
584,2000-0379-GRC,Greece,2020,9,67.76923076923077
585,2000-0379-GRC,Greece,2020,10,71.46153846153847
586,2000-0379-GRC,Greece,2020,11,70.15384615384616
587,2000-0379-GRC,Greece,2020,12,77.84615384615384
720,2010-0331-JPN,Japan,2020,1,71.16279069767442
721,2010-0331-JPN,Japan,2020,2,68.32558139534883
722,2010-0331-JPN,Japan,2020,3,69.6046511627907
