Dis No,Country,Year,Month,Rel_Hum
2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2002,1,76
2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2002,2,68
2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2002,3,79
2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2002,4,80
2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2002,5,88
2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2002,6,89
2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2002,7,90
2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2002,8,86
2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2002,9,85
2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2002,10,77
2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2002,11,76
2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2002,12,74
2019-0366-FRA,France,2002,1,63
2019-0366-FRA,France,2002,2,78
2019-0366-FRA,France,2002,3,73
2019-0366-FRA,France,2002,4,72
2019-0366-FRA,France,2002,5,79
2019-0366-FRA,France,2002,6,74
2019-0366-FRA,France,2002,7,76
2019-0366-FRA,France,2002,8,82
2019-0366-FRA,France,2002,9,82
2019-0366-FRA,France,2002,10,79
2019-0366-FRA,France,2002,11,87
2019-0366-FRA,France,2002,12,82
2019-0467-JPN,Japan,2002,1,61
2019-0467-JPN,Japan,2002,2,65
2019-0467-JPN,Japan,2002,3,59
2019-0467-JPN,Japan,2002,4,69
2019-0467-JPN,Japan,2002,5,78
2019-0467-JPN,Japan,2002,6,82
2019-0467-JPN,Japan,2002,7,80
2019-0467-JPN,Japan,2002,8,79
2019-0467-JPN,Japan,2002,9,82
2019-0467-JPN,Japan,2002,10,76
2019-0467-JPN,Japan,2002,11,65
2019-0467-JPN,Japan,2002,12,73
2019-0366-AUT,Austria,2002,1,72
2019-0366-AUT,Austria,2002,2,83
2019-0366-AUT,Austria,2002,3,76
2019-0366-AUT,Austria,2002,4,81
2019-0366-AUT,Austria,2002,5,82
2019-0366-AUT,Austria,2002,6,77
2019-0366-AUT,Austria,2002,7,81
2019-0366-AUT,Austria,2002,8,83
2019-0366-AUT,Austria,2002,9,83
2019-0366-AUT,Austria,2002,10,85
2019-0366-AUT,Austria,2002,11,90
2019-0366-AUT,Austria,2002,12,89
2000-0379-GRC,Greece,2002,1,76
2000-0379-GRC,Greece,2002,2,78
2000-0379-GRC,Greece,2002,3,75
2000-0379-GRC,Greece,2002,4,76
2000-0379-GRC,Greece,2002,5,76
2000-0379-GRC,Greece,2002,6,75
2000-0379-GRC,Greece,2002,7,75
2000-0379-GRC,Greece,2002,8,69
2000-0379-GRC,Greece,2002,9,74
2000-0379-GRC,Greece,2002,10,72
2000-0379-GRC,Greece,2002,11,77
2000-0379-GRC,Greece,2002,12,75
2010-0331-JPN,Japan,2002,1,65
2010-0331-JPN,Japan,2002,2,66
2010-0331-JPN,Japan,2002,3,65
2010-0331-JPN,Japan,2002,4,73
