"COUNTRY","Country","PRODUCT","Product","FLOW","Flow","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2000","2000",,"L","Missing value; data exist but were not collected"
"AUS","Australia","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2001","2001",17.802,,
"AUS","Australia","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2002","2002",,"L","Missing value; data exist but were not collected"
"AUS","Australia","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2003","2003",17.366,,
"AUS","Australia","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2004","2004",40.476,,
"AUS","Australia","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2005","2005",28.689,,
"AUS","Australia","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2006","2006",36.767,,
"AUS","Australia","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2007","2007",44.372,,
"AUS","Australia","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2008","2008",39.58,,
"AUS","Australia","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2009","2009",75.196,,
"AUS","Australia","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2010","2010",78.404,,
"AUS","Australia","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2011","2011",156.097,,
"AUS","Australia","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2000","2000",,"L","Missing value; data exist but were not collected"
"AUS","Australia","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2001","2001",4.891,,
"AUS","Australia","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2002","2002",,"L","Missing value; data exist but were not collected"
"AUS","Australia","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2003","2003",1.446,,
"AUS","Australia","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2004","2004",31.961,,
"AUS","Australia","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2005","2005",21.63,,
"AUS","Australia","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2006","2006",16.678,,
"AUS","Australia","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2007","2007",14.206,,
"AUS","Australia","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2008","2008",22.444,,
"AUS","Australia","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2009","2009",2.461,,
"AUS","Australia","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2010","2010",2.382,,
"AUS","Australia","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","NUCLEAR","GROUP 4: NUCLEAR","2011","2011",4.811,,
"AUT","Austria","RDDUSD","Total RD&D in Million USD (2019 prices and exch. rates)","RENEWABLE","GROUP 3: RENEWABLE ENERGY SOURCES","2000","2000",10.218,,
