,Dis No,Country,Year,Month,Rel_Hum
0,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2017,1,71.0
1,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2017,2,76.0
2,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2017,3,79.0
3,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2017,4,78.0
4,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2017,5,85.0
5,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2017,6,89.0
6,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2017,7,94.0
7,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2017,8,89.0
8,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2017,9,81.0
9,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2017,10,79.0
10,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2017,11,80.0
11,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2017,12,73.0
144,2019-0366-FRA,France,2017,1,73.0
145,2019-0366-FRA,France,2017,2,78.0
146,2019-0366-FRA,France,2017,3,76.0
147,2019-0366-FRA,France,2017,4,70.0
148,2019-0366-FRA,France,2017,5,75.0
149,2019-0366-FRA,France,2017,6,74.0
150,2019-0366-FRA,France,2017,7,73.0
151,2019-0366-FRA,France,2017,8,70.0
152,2019-0366-FRA,France,2017,9,79.0
153,2019-0366-FRA,France,2017,10,71.0
154,2019-0366-FRA,France,2017,11,76.0
155,2019-0366-FRA,France,2017,12,79.0
288,2019-0467-JPN,Japan,2017,1,52.0
289,2019-0467-JPN,Japan,2017,2,48.0
290,2019-0467-JPN,Japan,2017,3,58.0
291,2019-0467-JPN,Japan,2017,4,64.0
292,2019-0467-JPN,Japan,2017,5,73.0
293,2019-0467-JPN,Japan,2017,6,75.0
294,2019-0467-JPN,Japan,2017,7,82.0
295,2019-0467-JPN,Japan,2017,8,86.0
296,2019-0467-JPN,Japan,2017,9,80.0
297,2019-0467-JPN,Japan,2017,10,84.0
298,2019-0467-JPN,Japan,2017,11,69.0
299,2019-0467-JPN,Japan,2017,12,56.0
432,2019-0366-AUT,Austria,2017,1,72.0
433,2019-0366-AUT,Austria,2017,2,81.0
434,2019-0366-AUT,Austria,2017,3,75.0
435,2019-0366-AUT,Austria,2017,4,79.0
436,2019-0366-AUT,Austria,2017,5,78.0
437,2019-0366-AUT,Austria,2017,6,77.0
438,2019-0366-AUT,Austria,2017,7,81.0
439,2019-0366-AUT,Austria,2017,8,81.0
440,2019-0366-AUT,Austria,2017,9,89.0
441,2019-0366-AUT,Austria,2017,10,79.0
442,2019-0366-AUT,Austria,2017,11,83.0
443,2019-0366-AUT,Austria,2017,12,81.0
576,2000-0379-GRC,Greece,2017,1,72.3076923076923
577,2000-0379-GRC,Greece,2017,2,73.76923076923077
578,2000-0379-GRC,Greece,2017,3,72.76923076923077
579,2000-0379-GRC,Greece,2017,4,71.0
580,2000-0379-GRC,Greece,2017,5,72.46153846153847
581,2000-0379-GRC,Greece,2017,6,71.61538461538461
582,2000-0379-GRC,Greece,2017,7,65.15384615384616
583,2000-0379-GRC,Greece,2017,8,62.69230769230769
584,2000-0379-GRC,Greece,2017,9,66.76923076923077
585,2000-0379-GRC,Greece,2017,10,67.46153846153847
586,2000-0379-GRC,Greece,2017,11,74.07692307692308
587,2000-0379-GRC,Greece,2017,12,72.53846153846153
720,2010-0331-JPN,Japan,2017,1,66.65116279069767
721,2010-0331-JPN,Japan,2017,2,65.18604651162791
722,2010-0331-JPN,Japan,2017,3,65.32558139534883
723,2010-0331-JPN,Japan,2017,4,69.65116279069767
724,2010-0331-JPN,Japan,2017,5,73.18604651162791
