,Dis No,Country,Year,Month,Rel_Hum
0,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2016,1,72.0
1,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2016,2,74.0
2,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2016,3,74.0
3,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2016,4,82.0
4,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2016,5,86.0
5,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2016,6,92.0
6,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2016,7,94.0
7,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2016,8,91.0
8,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2016,9,86.0
9,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2016,10,82.0
10,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2016,11,75.0
11,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2016,12,78.0
144,2019-0366-FRA,France,2016,1,81.0
145,2019-0366-FRA,France,2016,2,81.0
146,2019-0366-FRA,France,2016,3,77.0
147,2019-0366-FRA,France,2016,4,76.0
148,2019-0366-FRA,France,2016,5,77.0
149,2019-0366-FRA,France,2016,6,81.0
150,2019-0366-FRA,France,2016,7,76.0
151,2019-0366-FRA,France,2016,8,75.0
152,2019-0366-FRA,France,2016,9,78.0
153,2019-0366-FRA,France,2016,10,79.0
154,2019-0366-FRA,France,2016,11,80.0
155,2019-0366-FRA,France,2016,12,62.0
288,2019-0467-JPN,Japan,2016,1,66.0
289,2019-0467-JPN,Japan,2016,2,63.0
290,2019-0467-JPN,Japan,2016,3,69.0
291,2019-0467-JPN,Japan,2016,4,71.0
292,2019-0467-JPN,Japan,2016,5,71.0
293,2019-0467-JPN,Japan,2016,6,79.0
294,2019-0467-JPN,Japan,2016,7,83.0
295,2019-0467-JPN,Japan,2016,8,82.0
296,2019-0467-JPN,Japan,2016,9,88.0
297,2019-0467-JPN,Japan,2016,10,78.0
298,2019-0467-JPN,Japan,2016,11,76.0
299,2019-0467-JPN,Japan,2016,12,63.0
432,2019-0366-AUT,Austria,2016,1,82.0
433,2019-0366-AUT,Austria,2016,2,84.0
434,2019-0366-AUT,Austria,2016,3,78.0
435,2019-0366-AUT,Austria,2016,4,81.0
436,2019-0366-AUT,Austria,2016,5,82.0
437,2019-0366-AUT,Austria,2016,6,82.0
438,2019-0366-AUT,Austria,2016,7,79.0
439,2019-0366-AUT,Austria,2016,8,79.0
440,2019-0366-AUT,Austria,2016,9,79.0
441,2019-0366-AUT,Austria,2016,10,88.0
442,2019-0366-AUT,Austria,2016,11,87.0
443,2019-0366-AUT,Austria,2016,12,73.0
576,2000-0379-GRC,Greece,2016,1,73.15384615384616
577,2000-0379-GRC,Greece,2016,2,75.46153846153847
578,2000-0379-GRC,Greece,2016,3,73.3076923076923
579,2000-0379-GRC,Greece,2016,4,71.53846153846153
580,2000-0379-GRC,Greece,2016,5,73.0
581,2000-0379-GRC,Greece,2016,6,71.46153846153847
582,2000-0379-GRC,Greece,2016,7,67.84615384615384
583,2000-0379-GRC,Greece,2016,8,67.53846153846153
584,2000-0379-GRC,Greece,2016,9,70.0
585,2000-0379-GRC,Greece,2016,10,74.3076923076923
586,2000-0379-GRC,Greece,2016,11,73.76923076923077
587,2000-0379-GRC,Greece,2016,12,65.84615384615384
720,2010-0331-JPN,Japan,2016,1,68.53488372093024
721,2010-0331-JPN,Japan,2016,2,66.48837209302326
722,2010-0331-JPN,Japan,2016,3,67.34883720930233
723,2010-0331-JPN,Japan,2016,4,73.02325581395348
724,2010-0331-JPN,Japan,2016,5,73.81395348837209
725,2010-0331-JPN,Japan,2016,6,80.62790697674419
726,2010-0331-JPN,Japan,2016,7,81.04651162790698
727,2010-0331-JPN,Japan,2016,8,77.27906976744185
728,2010-0331-JPN,Japan,2016,9,81.74418604651163
729,2010-0331-JPN,Japan,2016,10,75.0
730,2010-0331-JPN,Japan,2016,11,72.83720930232558
731,2010-0331-JPN,Japan,2016,12,70.06976744186046
864,2014-0578-JPN,Japan,2016,1,68.27906976744185
865,2014-0578-JPN,Japan,2016,2,65.79069767441861
866,2014-0578-JPN,Japan,2016,3,67.81395348837209
867,2014-0578-JPN,Japan,2016,4,73.79069767441861
868,2014-0578-JPN,Japan,2016,5,73.93023255813954
869,2014-0578-JPN,Japan,2016,6,81.6046511627907
870,2014-0578-JPN,Japan,2016,7,81.69767441860465
871,2014-0578-JPN,Japan,2016,8,78.18604651162791
872,2014-0578-JPN,Japan,2016,9,83.72093023255815
873,2014-0578-JPN,Japan,2016,10,75.86046511627907
874,2014-0578-JPN,Japan,2016,11,73.30232558139535
875,2014-0578-JPN,Japan,2016,12,69.90697674418605
1008,2011-0573-JPN,Japan,2016,1,70.27906976744185
1009,2011-0573-JPN,Japan,2016,2,67.65116279069767
1010,2011-0573-JPN,Japan,2016,3,68.53488372093024
1011,2011-0573-JPN,Japan,2016,4,73.81395348837209
1012,2011-0573-JPN,Japan,2016,5,74.09302325581395
1013,2011-0573-JPN,Japan,2016,6,80.97674418604652
1014,2011-0573-JPN,Japan,2016,7,80.79069767441861
1015,2011-0573-JPN,Japan,2016,8,77.86046511627907
1016,2011-0573-JPN,Japan,2016,9,82.48837209302326
1017,2011-0573-JPN,Japan,2016,10,76.13953488372093
1018,2011-0573-JPN,Japan,2016,11,73.72093023255815
1019,2011-0573-JPN,Japan,2016,12,71.4186046511628
1296,2011-0264-USA,United States of America (the),2016,1,66.72727272727273
1297,2011-0264-USA,United States of America (the),2016,2,63.0
1298,2011-0264-USA,United States of America (the),2016,3,62.45454545454545
1299,2011-0264-USA,United States of America (the),2016,4,58.54545454545455
1300,2011-0264-USA,United States of America (the),2016,5,61.09090909090909
1301,2011-0264-USA,United States of America (the),2016,6,58.81818181818182
1302,2011-0264-USA,United States of America (the),2016,7,62.09090909090909
1303,2011-0264-USA,United States of America (the),2016,8,64.36363636363636
1304,2011-0264-USA,United States of America (the),2016,9,64.63636363636364
